delta_us	pkt_len
0	30
728	99
1750	27
1293	80
834	13
221	138
191	124
4	110
288	97
669	21
270	4
1137	88
91	50
979	68
128	325
69	144
297	53
34	19
337	100
1244	10
340	6
2407	385
82	20
702	135
328	23
2341	72
322	23
246	91
1846	156
899	379
283	227
68	92
181	132
1196	8
1538	159
1329	57
215	260
1681	20
1560	127
1478	22
230	110
387	61
676	43
2427	8
1561	127
1022	131
493	91
725	132
350	320
1865	121
793	15
1265	47
70	57
1890	157
1945	68
112	79
87	98
22	86
2176	285
647	27
1100	83
104	185
2139	358
913	27
1008	277
112	43
2251	12
2101	180
2685	87
440	135
235	86
1222	24
438	59
2704	54
6	35
49	3
817	13
370	360
274	207
555	72
351	219
368	6
3282	31
201	109
1712	8
3550	19
2178	2
1687	132
940	8
736	68
1032	58
2605	179
248	190
137	29
191	43
1302	628
930	125
2285	110
594	278
1511	125
1023	66
370	114
718	16
442	80
1378	258
206	35
724	132
459	60
19	60
3014	69
1887	5
2622	7
1780	189
729	51
226	22
1431	9
2400	254
1085	35
1683	145
109	35
1826	3
1726	28
591	36
255	97
1462	17
652	83
727	177
1927	57
791	6
92	147
802	34
2516	18
727	110
220	98
1725	35
1627	16
1688	148
54	57
1492	102
519	2
139	111
2613	35
3102	279
4230	3
4622	120
405	124
484	333
187	40
254	94
559	313
964	31
652	402
35	7
218	102
465	152
761	33
1080	98
1550	118
1437	131
267	14
2245	22
410	164
1263	340
14	49
1208	260
180	231
102	139
97	91
1602	20
1787	122
1095	5
546	168
1223	10
1658	191
1236	254
126	111
1097	324
1496	186
1525	103
159	55
879	166
977	155
692	147
1853	57
1474	196
750	15
657	14
193	1
70	68
439	277
219	12
156	89
116	179
913	33
2866	6
696	170
349	54
1412	33
1940	78
1441	34
804	1
505	473
7035	241
1692	93
7	43
2121	91
1544	87
306	632
144	43
1081	67
198	88
163	19
170	12
48	99
1356	8
218	40
271	68
902	6
343	12
201	47
943	39
839	39
105	150
3632	30
1413	298
677	142
843	5
841	24
3748	69
1202	26
749	130
2902	56
731	86
1607	69
934	193
1363	81
507	83
104	22
1146	31
272	420
3276	90
4652	163
149	7
1131	320
482	100
459	5
132	116
247	55
428	67
266	126
1164	39
1140	37
1950	187
236	50
847	14
1353	196
1282	59
1643	122
39	128
402	75
778	443
201	149
637	98
755	33
899	56
890	30
16	55
781	10
1060	93
1154	82
1013	79
589	340
191	112
89	53
4499	60
280	308
1027	217
1894	325
1889	24
3052	29
65	14
1934	49
144	114
802	74
51	357
2416	79
832	130
1238	393
152	24
1215	28
714	113
192	241
1790	31
89	18
231	125
177	226
1803	31
126	17
213	175
598	69
2274	220
1002	59
58	74
854	20
371	45
979	54
310	56
1379	125
3893	44
354	4
2064	5
409	3
163	17
88	51
922	173
869	211
712	263
94	26
382	19
1814	66
869	151
2203	190
1535	24
201	172
1506	36
1446	24
677	39
1158	20
972	245
157	115
503	22
1978	41
429	112
1379	99
281	93
717	187
803	204
2236	40
3035	48
1125	137
778	76
939	379
1704	6
10	52
772	21
64	26
570	10
1529	268
847	56
365	204
1076	15
1602	89
1734	36
1020	93
691	28
2043	9
1042	107
342	26
884	59
974	46
357	11
3831	69
531	110
194	90
2492	324
876	69
130	116
596	142
2639	98
691	154
68	201
50	656
822	39
948	162
1318	112
502	115
1507	20
3842	44
790	523
60	94
66	29
192	113
526	13
705	19
1268	319
388	115
1638	32
433	28
1627	15
1088	44
182	35
930	93
1046	118
824	29
271	119
811	278
210	48
2311	162
1963	4
1244	36
19	39
188	151
194	91
1165	108
1134	113
584	17
1256	55
47	299
18	77
1368	43
292	277
3135	24
259	86
649	65
1538	63
1889	96
20	13
1259	200
612	33
1294	58
411	92
223	84
1099	333
1329	43
593	159
913	344
719	24
1390	11
2387	36
1428	48
528	330
1846	74
261	101
2060	88
217	23
283	112
774	30
335	10
430	376
987	105
488	44
1964	164
778	18
1144	59
2891	97
1139	11
3595	101
4119	49
553	185
1141	29
741	164
484	265
2126	12
1314	84
1649	41
2122	267
518	123
381	21
529	1
188	134
185	46
128	56
367	18
2108	52
786	37
549	73
345	63
601	153
1388	127
1424	76
9	154
1033	153
965	16
232	34
109	49
1370	83
2317	29
935	170
2072	86
687	73
696	18
2430	16
956	209
205	64
153	69
3177	52
790	98
370	7
1529	703
1044	82
3033	30
4066	118
1101	67
1000	594
114	56
1094	38
1104	96
483	24
174	200
1855	357
1140	114
100	22
275	55
309	21
274	115
2717	3
776	66
230	10
1338	50
2243	67
19	94
403	85
747	99
1025	73
1811	56
382	86
1095	3
3151	30
1515	243
704	219
2455	24
1363	9
166	12
2808	20
696	60
1188	181
335	39
1342	158
73	192
1763	381
1373	9
950	16
230	108
2428	209
5704	123
143	523
35	123
1399	66
1469	22
1803	35
1101	10
3507	178
186	244
72	65
426	22
458	41
717	140
263	151
764	69
111	49
996	43
914	43
513	40
2255	77
2884	10
2339	23
751	49
357	103
1090	98
517	44
2093	50
154	57
276	62
566	29
1288	15
644	6
104	153
130	63
532	1
4956	168
112	30
725	242
907	11
1465	4
2299	36
1334	245
1376	22
2030	62
243	151
284	78
115	185
279	92
1244	21
254	74
184	183
489	298
256	19
1921	35
343	329
1330	177
466	40
2090	18
1232	11
561	171
703	451
852	17
357	16
1189	123
164	27
173	2
1103	13
1191	4
867	122
65	16
585	45
1369	22
2716	31
414	46
314	2
632	51
138	169
2210	49
40	102
700	31
2597	51
2002	68
909	130
487	107
625	432
632	263
625	8
3733	121
517	123
786	6
1367	282
4026	126
1760	34
47	75
153	20
1989	69
2654	150
107	1
120	63
120	63
90	60
1147	266
1340	18
1861	158
1634	202
980	36
2855	29
3091	14
9	139
97	196
