delta_us	pkt_len
0	30
898	99
986	27
959	80
1081	13
62	138
72	124
74	110
78	97
699	21
49	4
897	88
65	50
1077	68
78	325
52	144
58	53
92	19
65	100
544	10
1014	6
973	385
69	20
894	135
29	23
2009	72
38	23
908	91
1032	156
979	379
62	227
46	92
64	132
872	8
966	159
980	57
63	260
943	20
2020	127
989	22
54	110
79	61
958	43
1929	8
1002	127
993	131
65	91
908	132
30	320
995	121
976	15
988	47
60	57
946	157
2019	68
39	79
50	98
73	86
1817	285
27	27
991	83
35	185
2072	358
94	27
830	277
76	43
1878	12
1982	180
2029	87
38	135
58	86
887	24
985	59
2030	54
35	35
27	3
59	13
855	360
59	207
35	72
915	219
68	6
1921	31
1009	109
1102	8
2924	19
988	2
1989	132
74	8
955	68
959	58
1985	179
65	190
37	29
60	43
865	628
1005	125
2010	110
34	278
1923	125
1089	66
59	114
62	16
813	80
981	258
64	35
941	132
27	60
60	60
1905	69
2020	5
1981	7
1022	189
1015	51
38	22
909	9
2032	254
980	35
1093	145
106	35
925	3
1927	28
44	36
25	97
900	17
976	83
1018	177
986	57
1031	6
69	147
37	34
1843	18
1035	110
35	98
973	35
1975	16
1039	148
101	57
867	102
1078	2
99	111
1851	35
1992	279
2975	3
4024	120
83	124
886	333
30	40
69	94
891	313
57	31
952	402
74	7
74	102
35	152
821	33
1026	98
1039	118
962	131
44	14
1943	22
87	164
891	340
30	49
985	260
36	231
60	139
53	91
1858	20
1016	122
950	5
27	168
998	10
1973	191
62	254
937	111
66	324
2007	186
1033	103
89	55
87	166
763	155
992	147
977	57
1013	196
1015	15
36	14
40	1
897	68
36	277
58	12
48	89
87	179
783	33
1957	6
990	170
64	54
948	33
1020	78
1981	34
