delta_us	pkt_len
0	30
915	99
984	27
1006	80
973	13
111	138
2	124
1	110
2	97
923	21
2	4
1002	88
3	50
1123	68
30	325
2	144
2	53
1	19
1	100
719	10
1046	6
1067	385
2	20
976	135
3	23
2126	72
25	23
761	91
1087	156
941	379
71	227
2	92
2	132
953	8
997	159
1032	57
2	260
925	20
2299	127
682	22
4	110
1	61
1064	43
2207	8
728	127
1077	131
2	91
977	132
2	320
981	121
1010	15
1018	47
7	57
959	157
2336	68
2	79
1	98
1	86
1858	285
2	27
773	83
2	185
2324	358
2	27
607	277
2	43
2361	12
1918	180
2104	87
2	135
1	86
619	24
1130	59
2308	54
29	35
2	3
3	13
566	360
2	207
2	72
1083	219
2	6
2195	31
670	109
1114	8
3485	19
332	2
2469	132
2	8
579	68
1119	58
2349	179
97	190
43	29
28	43
337	628
1169	125
2224	110
4	278
1888	125
828	66
7	114
2	16
1055	80
711	258
12	35
1116	132
4	60
74	60
2329	69
1993	5
1957	7
712	189
1124	51
2	22
895	9
1904	254
1056	35
1092	145
2	35
972	3
2341	28
2	36
1	97
572	17
1087	83
977	177
1010	57
1083	6
2	147
2	34
2150	18
698	110
2	98
1081	35
2215	16
703	148
2	57
1074	102
990	2
14	111
2223	35
1971	279
2742	3
4981	120
2	124
2	333
2	40
2	94
1125	313
2	31
935	402
85	7
2	102
1	152
829	33
1019	98
965	118
1106	131
2	14
2244	22
4	164
656	340
2	49
1049	260
83	231
2	139
1	91
2114	20
672	122
1165	5
4	168
921	10
2253	191
37	254
606	111
22	324
2364	186
733	103
3	55
1	166
1004	155
1017	147
999	57
991	196
1107	15
2	14
1	1
992	68
4	277
2	12
2	89
1	179
910	33
2243	6
658	170
3	54
1106	33
978	78
2242	34
