delta_us	pkt_len
0	1090
24	174
3065	162
4102	174
2579	162
4332	174
2489	162
2705	150
1140	174
2584	90
2	162
3168	150
849	174
2463	90
297	162
5314	174
1936	162
4558	174
755	150
1441	162
2132	90
1864	174
918	150
2060	162
1484	90
2850	174
2630	162
4323	174
2515	162
4328	174
2539	162
4349	174
2519	162
4489	174
2314	162
4433	174
2458	162
4589	174
4252	162
3861	174
4753	162
3256	174
5386	162
3507	174
2783	162
4428	174
2321	162
4603	174
2442	162
604	150
3431	174
2	90
2843	162
233	150
3979	174
2	90
2434	162
4409	174
2432	162
4518	174
2412	162
4485	174
2332	162
4423	174
2441	162
3512	162
27	174
3450	162
416	74
4627	174
3	162
3614	162
856	74
3021	174
2804	162
894	66
3172	174
2798	162
1044	1090
2210	1090
120	174
1747	1090
665	1090
1174	1090
2	162
2126	1090
2009	1090
3	66
2	174
1685	66
1120	162
1804	1090
1772	1090
177	174
3493	162
4277	174
2546	162
4352	174
2455	162
5179	1090
3	174
200	1090
1911	1090
999	1090
3	162
1285	1090
1456	1090
2375	174
4	66
2409	1090
2066	1090
3	162
5548	174
3312	162
3	66
4228	174
3	66
2428	162
4367	174
14196	1090
4	1090
51	1090
986	1090
1367	1090
1137	1090
2418	66
2023	1090
925	1090
20246	162
53	90
3818	162
4083	90
33099	162
144	174
5380	150
2856	90
2923	150
3687	90
15904	116
24481	150
141	142
5847	158
14731	1400
57	58
16767	150
2939	142
4917	158
18988	1400
70	118
86	154
97	826
3477	142
6623	162
13532	1242
2384	64
1529	66
19819	1090
1592	66
16522	1090
97	1090
9442	150
1742	142
4272	158
49109	154
92	142
3893	162
467	1400
60	118
1806	1400
46	118
790	1278
10170	1242
177	154
4458	106
33716	66
9583	162
2532	1090
98	174
632	1090
4095	162
195	1090
2403	1090
1875	1090
92	174
101	150
1741	1090
1999	1090
94	162
1841	1090
1531	66
312	174
2325	1090
85	106
491	162
1003	1090
3430	150
89	174
2797	162
718	142
3662	174
85	158
2271	162
3730	174
2874	162
651	66
4006	174
2554	162
4835	174
3916	162
4113	174
2244	162
4574	174
2483	162
4315	174
2592	162
4452	174
2311	162
984	1400
89	118
704	674
1966	162
102	64
84	174
3112	162
92	90
4085	174
89	162
2427	162
991	90
3131	174
2810	162
4488	158
82	174
2191	162
4403	174
2540	162
4318	174
2399	162
4758	174
3159	1400
101	118
121	162
309	206
5973	174
4820	162
4040	174
4323	162
87	158
4056	174
2301	162
4510	174
90	630
2236	162
4393	174
2602	162
100	66
3952	174
2839	162
4204	174
2490	162
4381	174
2474	162
4885	1090
44	174
3816	162
47	66
4289	174
2301	162
4112	174
2869	162
4448	174
2268	162
4245	1090
86	174
2585	162
2682	150
1028	174
2616	162
4903	174
2438	162
4555	174
2260	162
4420	174
26	98
2418	162
485	150
3747	174
2630	162
3698	94
4	174
3289	162
720	150
3235	174
2	142
2813	162
1561	158
2496	174
2762	162
4693	174
2025	162
4509	174
2399	162
4449	174
1624	206
404	162
5330	174
1256	150
2349	162
461	142
3852	174
773	158
1608	162
4623	174
2403	162
4380	174
2484	162
4336	174
2551	162
4330	174
2510	162
3022	882
653	174
3353	162
4170	174
1031	86
1227	162
2644	162
2	150
