delta_us	pkt_len
0	536
33627	136
37513	136
32931	136
33067	152
34624	136
33314	136
28991	136
37705	160
33250	136
33492	136
33064	136
32730	160
34496	136
32843	136
33674	136
32490	528
34099	136
33299	136
30122	136
33208	160
36987	136
33035	136
33389	136
33119	160
33802	136
29737	136
36549	136
33312	160
33255	136
33227	136
33414	136
33313	528
33519	136
33116	136
33361	136
33473	160
32459	136
34383	136
33336	136
33009	160
33409	136
33011	136
31500	136
35614	160
33154	136
33427	136
33065	136
33964	528
33036	136
33267	136
33555	136
33253	160
33552	136
33106	136
33058	136
33422	160
33120	136
33909	136
31281	136
34213	160
34304	448
33096	1400
98	80
33569	1400
71	1400
87	1400
90	1400
95	1400
104	888
32765	1400
103	1400
83	1400
100	1400
122	1400
143	1400
106	1400
107	1400
110	1400
100	1400
110	1400
3914	1400
13036	1400
9959	1400
12289	1400
10554	1400
11619	1400
11170	1400
11213	1400
11256	1400
11098	1400
11253	1400
11293	1400
11093	1400
10445	1400
11503	1400
10814	1400
12259	1400
10271	1400
10849	1400
12678	1400
9805	1400
11608	1400
11970	1400
9187	1400
13172	1400
3212	624
13210	1400
10740	1400
11348	1400
11142	1400
11201	1400
11246	1400
11158	1400
11235	1400
11309	1400
11058	1400
11145	1400
9397	1400
12012	1400
10056	1400
13302	1400
11309	1400
10470	1400
11165	1400
10395	1400
12327	1400
11751	1400
11070	1400
11113	1400
11496	1400
7137	1056
12502	1400
10531	1400
14538	1400
7624	1400
12102	1400
10692	1400
11586	1400
9768	1400
12880	1400
10756	1400
11313	1400
11167	1400
11195	1400
11215	1400
9113	1400
13759	1400
10644	1400
9919	1400
11757	1400
11478	1400
11925	1400
10885	1400
10656	1400
12116	1400
7536	1056
103	192
13649	1400
9699	1400
10482	1400
12203	1400
12290	1400
10907	1400
11268	1400
11231	1400
11146	1400
11168	1400
11236	1400
11188	1400
11214	1400
11179	1400
11294	1400
11139	1400
11176	1400
11186	1400
11350	1400
11086	1400
11112	1400
11279	1400
11164	1400
11194	1400
10506	1400
12157	1400
10893	1400
10811	1400
11865	1400
10739	1400
11560	1400
11029	1400
11298	1400
11186	1400
11121	1400
9475	1400
13456	1400
10623	1400
11322	1400
11116	1400
11279	1400
11235	1400
11109	1400
11288	1400
11174	1400
9510	1400
12089	1400
12163	1400
11089	1400
11195	1400
11310	1400
8911	1400
12083	1400
10333	1400
14019	1400
9979	1400
11899	1400
11103	1400
9398	1400
13419	1400
10668	1400
11296	1400
11362	1400
10854	1400
11494	1400
11066	1400
11276	1400
11078	1400
9999	1400
12774	1400
10774	1400
11353	1400
10722	1400
10603	1400
12670	1400
10707	1400
11273	1400
10796	1400
11732	1400
4935	792
12822	1400
10719	1400
11409	1400
9877	1400
12182	1400
11572	1400
31	224
12987	1400
10495	1400
11211	1400
11933	1400
10954	1400
11321	1400
11099	1400
11214	1400
24	208
13238	1400
10705	1400
10111	1400
485	192
13181	1400
11602	1400
10984	1400
10235	1400
11964	1400
11670	1400
10844	1400
21	216
13726	1400
9708	1400
12259	1400
11076	1400
11164	1400
11151	1400
11337	1400
11209	1400
11041	1400
11237	1400
11333	1400
10854	1400
9817	1400
3471	448
11299	1400
13117	1400
10645	1400
1789	448
13551	1400
10683	1400
10786	1400
10711	1400
12504	1400
10326	1400
28	208
13659	1400
10889	1400
11455	1400
10991	1400
11340	1400
10967	1400
11306	1400
9902	1400
12761	1400
10742	1400
11373	1400
11249	1400
11084	1400
11235	1400
11350	1400
6721	960
11579	1400
11727	1400
11162	1400
17	192
13169	1400
10716	1400
11275	1400
11191	1400
11259	1400
11192	1400
11178	1400
11258	1400
9028	1400
13485	1400
11080	1400
9231	1400
13544	1400
10767	1400
32	72
11372	1400
10257	1400
12925	1400
10663	1400
11338	1400
11245	1400
10321	1400
11225	1400
12202	1400
9938	1400
12408	1400
10047	1400
10094	1400
12762	1400
10056	1400
12456	1400
11776	1400
11019	1400
11212	1400
9441	1400
13512	1400
3183	672
13205	1400
10707	1400
11338	1400
11171	1400
11266	1400
11159	1400
11215	1400
11157	1400
11146	1400
11209	1400
9849	1400
12869	1400
10951	1400
11241	1400
10172	1400
12539	1400
10892	1400
26	112
9791	1400
11781	1400
13253	1400
17	40
10221	1400
12410	1400
9447	1400
11892	1400
12115	1400
10889	1400
11441	1400
11096	1400
11148	1400
1854	464
4760	536
12975	1400
10748	1400
11223	1400
11292	1400
11221	1400
27	272
11104	1400
14010	1400
10563	1400
2661	544
12288	1400
11978	1400
10869	1400
10525	1400
12293	1400
5195	952
12532	1400
12214	1400
11004	1400
11152	1400
9812	1400
13017	1400
9948	1400
12016	1400
11268	1400
10020	1400
10579	1400
14452	1400
9477	1400
10925	1400
11927	1400
10874	1400
11251	1400
11236	1400
11203	1400
11124	1400
11274	1400
4633	736
12798	1400
10793	1400
11247	1400
11285	1400
10986	1400
4736	744
12854	1400
10831	1400
9953	1400
12506	1400
9641	1400
13172	1400
10630	1400
11406	1400
7285	1016
10965	1400
12507	1400
10899	1400
11312	1400
11110	1400
11308	1400
9403	1400
